Estacion AMB NORMAL;;;Sensor IOT (PROM);;;
Fecha;Hora;Valor;Fecha;Hora;Valor;
3/11/2018;23:00:00;11,5;3/11/2018;23:45:19;8,6805554231008;
4/11/2018;0:00:00;12,2;4/11/2018;0:30:19;8,4722220897675;
4/11/2018;1:00:00;12,6;4/11/2018;1:30:20;6,9097223281860;
4/11/2018;2:00:00;12,1;4/11/2018;2:30:20;6,3472221692403;
4/11/2018;3:00:00;8,8;4/11/2018;3:30:20;7,8333331743876;
4/11/2018;4:00:00;9,6;4/11/2018;4:30:20;11,0972225666046;
4/11/2018;5:00:00;10,7;4/11/2018;5:30:20;10,7291664282480;
4/11/2018;6:00:00;10,7;4/11/2018;6:30:20;12,9027775923411;
4/11/2018;7:00:00;17,3;4/11/2018;7:30:19;11,5277782281240;
4/11/2018;8:00:00;12,2;4/11/2018;8:30:19;9,0555557409922;
4/11/2018;9:00:00;12,3;4/11/2018;9:30:19;8,9236112435659;
4/11/2018;10:00:00;9,6;4/11/2018;10:30:19;8,0208330949148;
4/11/2018;11:00:00;9,8;4/11/2018;11:30:21;7,12500007947285;
4/11/2018;12:00:00;9,1;4/11/2018;12:30:20;10,0000001589457;
4/11/2018;13:00:00;9,2;4/11/2018;13:30:21;11,3030301874334;
4/11/2018;14:00:00;8,5;4/11/2018;14:30:20;14,2430552641550;
4/11/2018;15:00:00;8,1;4/11/2018;15:30:19;11,0972222487132;
4/11/2018;16:00:00;7,3;4/11/2018;16:30:19;9,4444442590078;
4/11/2018;17:00:00;7,2;4/11/2018;17:30:20;7,8888887961706;
4/11/2018;18:00:00;7,4;4/11/2018;18:30:20;8,6250000000000;
4/11/2018;19:00:00;6,8;4/11/2018;19:30:21;7,70138891537984;
4/11/2018;20:00:00;7,9;4/11/2018;20:30:20;7,45833349227905;
4/11/2018;21:00:00;8,7;4/11/2018;21:30:20;6,41666674613952;
4/11/2018;22:00:00;7,7;4/11/2018;22:30:22;7,68055554231008;
4/11/2018;23:00:00;6,9;4/11/2018;23:30:20;10,50694433848060;
5/11/2018;0:00:00;9,2;5/11/2018;0:30:19;6,50694449742635;
5/11/2018;1:00:00;10,4;5/11/2018;1:30:19;6,38888891537984;
5/11/2018;2:00:00;13,9;5/11/2018;2:30:20;7,96527775128682;
5/11/2018;3:00:00;9,2;5/11/2018;3:30:22;7,00694425900777;
5/11/2018;4:00:00;8,3;5/11/2018;4:30:21;6,50694413979848;
5/11/2018;5:00:00;2,6;5/11/2018;5:30:19;6,22222212950388;
5/11/2018;6:00:00;1,9;5/11/2018;6:30:20;6,10416658719380;
5/11/2018;7:00:00;3,3;5/11/2018;7:30:20;6,09027767181396;
5/11/2018;8:00:00;4;5/11/2018;8:30:19;7,99305546283721;
5/11/2018;9:00:00;3,9;5/11/2018;9:30:20;6,40972234805425;
5/11/2018;10:00:00;6,6;5/11/2018;10:30:20;0,61111111442248;
5/11/2018;11:00:00;6,1;5/11/2018;11:30:20;0,06944444589317;
5/11/2018;12:00:00;15;5/11/2018;12:30:21;0,01388888930281;
5/11/2018;13:00:00;9,8;5/11/2018;13:30:19;0,07638889054457;
5/11/2018;14:00:00;5,3;5/11/2018;14:30:20;1,6249999360492;
5/11/2018;15:00:00;4,6;5/11/2018;15:30:19;5,7430555820465;
5/11/2018;16:00:00;4,3;5/11/2018;16:30:19;11,0694442590077;
5/11/2018;17:00:00;4,4;5/11/2018;17:30:20;14,1666662693023;
5/11/2018;18:00:00;4,3;5/11/2018;18:30:19;8,9097221692403;
5/11/2018;19:00:00;5;5/11/2018;19:30:19;2,4027777612209;
5/11/2018;20:00:00;4,4;5/11/2018;20:30:19;1,3611111144225;
5/11/2018;21:00:00;4,8;5/11/2018;21:30:21;2,7013889501492;
